ན་སིད་དྷི་,ན་སིད་དྷི་
ནུཏྟ་ཤེེ་,ནུཏྟ་ཤཻ་
ཏི་ཡེེ་,ཏི་ཡཻ་
ཞིང་དང༌།,ཞིང་དང་།
དྃཥྚོཏྐཊ་བྷེེ་,དྃཥྚོཏྐཊ་བྷཻ་
ལ་རཱུ་,ལ་རཱུ་
ན་ཏཱེ,ན་ཏཱ
རུ་བེེ་,རུ་བཻ་
ཧྲཱིུ་,ཧྲཱི་
རེ་ཎྱ་བྷར་,རེ་ཎྱ་བྷར་
འདི་གསུངས་བ་,འདི་གསུངས་པ་
མིག་གིས་་ལྟ་,མིག་གིས་ལྟ་
རྨྨ་ར་ཀྵཱ་,རྨྨ་ར་ཀྵཱ་
སྤྱོད་པས་།,སྤྱོད་པས།
པ་དང༌མཐོང་,པ་དང་མཐོང་
བཱན་བྷེཻ་,བཱན་བྷཻ་
ཟ་དང༌།,ཟ་དང་།
སུ་སྡུང་,སུ་སྡུད་
ཨན་དྷཱ་,ཨན་དྷཱ་
གི་,སྒྲུབ་
པ་དང༌ཚོང་,པ་དང་ཚོང་
ཛྙཱ་དྷཱ་,ཛྙཱ་དྷཱ་
ཨོཾ་ཨཱཿ་ཧཱུྃ།,ཨོཾ་ཨཱཿཧཱུྃ།
ལྷ་བཚོས་,ལྷ་བཤོས་
ཏ་པཱ་དྷཱུ་,ཏ་པཱ་དྷཱུ་
བ་འཐུང༌།,བ་འཐུང་།
སེམས་ཏེ་།,སེམས་ཏེ།
ས་གཞིངས་,ས་གཞི་
བྱེད་ཅིང༌ཇི་,བྱེད་ཅིང་ཇི་
ྉྤུ་ྉྤའུ་,ྉྤུ་ྉྤཱུ་
རེེ་,རཻ་
བཞིན་སྟོང༌།,བཞིན་སྟོང་།
ཧཱ་བྷཱི་,ཧཱ་བྷཱི་
བ་དང་,དང་
འདིི་,འདི་
བི་ཛྲིམ་བྷ་,བི་ཛྲིམ་བྷ་
བྱེད་ཅིང༌ཤའི་,བྱེད་ཅིང་ཤའི་
ཁ་ཧཱུྃ།,ཁ་ཧཱུྃ།
ཡིད་ནི་་འཁྲུག་,ཡིད་ནི་འཁྲུག་
ཙམ་དང༌།,ཙམ་དང་།
ཌ་ཨཽ་ཌྷ་,ཌ་ཨཽ་ཌྷ་
ས་བཅོན་,ས་བཙན་
ཛ་བ་ཛྷུ་,ཛ་བ་ཛྷུ་
གན་དྷི་,གན་དྷི་
ཀྱང་རུང༌མ་,ཀྱང་རུང་མ་
མི་ཏཱ་བྷ་,མི་ཏཱ་བྷ་
ལ་སྦྲོ་,ལ་སྤྲོ་
ཧུྃ་སཱྭ,ཧུྃ་སྭ
ཏི་རི་།,ཏི་རི།
པ་འམཔའམ།,པ་འམ།
ཉིད་ནི༌ནང་,ཉིད་ནི་ནང་
བཛྲ་ཨ་བྷི་,བཛྲ་ཨ་བྷི་
བྷཉྫེ།,བྷཉྫེ།
པ་བེེ་,པ་བཻ་
ཉིད་ཀྱག་,ཉིད་ཀྱང་
ཊཱི་སཱུ་,ཊཱི་སཱུ་
གཤེགས་ཤིང༌།,གཤེགས་ཤིང་།
ན་མཱུརྟ་,ན་མཱུརྟ་
འབྱོར་ཪང་,འབྱོར་རང་
བཞིན་ནོ་།,བཞིན་ནོ།
སླར་གཤིགས་,སླར་གཤེགས་
ཡ་ཎཱ་གྷཎྚེ།,ཡ་ཎཱ་གྷཎྚེ།
ར་སམ་བྷ་,ར་སམ་བྷ་
མྱ་ངམན་,མྱ་ངན་
བཀྲ་ཡཪ་,བཀྲ་ཡར་
པ་བཻཌཱུརྱ་,པ་བཻཌཱུརྱ་
མོ་྅ནྡྷ་,མོ་྅ནྡྷ་
ུ་རུ་བྷུ་,ུ་རུ་བྷུ་
ལམ་ཉདི,ལམ་ཉི
དང་པཱུརྦ་,དང་པཱུརྦ་
ཨུདྡྷཱ་,ཨུདྡྷཱ་
པ་དང་་།,པ་དང་།
པ་ཊེ་ཌྷ།,པ་ཊེ་ཌྷ།
ྃ་ཨོཾ་བྷཱུྃ་,ྃ་ཨོཾ་བྷཱུྃ་
ཏུ་ཁ་གྷ།,ཏུ་ཁ་གྷ།
ཏེ་མཱུརྟྟི་,ཏེ་མཱུརྟྟི་
གིས་གིས་གསད་,གིས་གསད་
ན་་,ན་
ན་སཾ་བྷ་,ན་སཾ་བྷ་
ཁ་ཥཊ་བྷུ་,ཁ་ཥཊ་བྷུ་
ལེ་སིདྡྷི་,ལེ་སིདྡྷི་
སྱ་རཀྵཱ་,སྱ་རཀྵཱ་
དཔའ་སེམས་དཔའ་,དཔའ་སེམས་
ན་སརྦྦ་དྷརྨྨ་,ན་སརྦྦ་དྷརྨྨ་
ན་སོད་བྷཱུ་,ན་སོད་བྷཱུ་
དེ་བཞིན་ཌྷམ་,དེ་བཞིན་ཌྷམ་
ཟིན་ཀྱང༌།,ཟིན་ཀྱང་།
རྣམ་བར་,རྣམ་པར་
དེའི་ཚེ་།,དེའི་ཚེ།
སྤྲིན་གྱ་ི,སྤྲིན་གྱི
གོོཎྜཱི་,གཽཎྜཱི་
ཅད་གྱི་་སྒོ་,ཅད་གྱི་སྒོ་
སརྦ་ཏྲེེ་,སརྦ་ཏྲཻ་
སྐད་དང༌།,སྐད་དང་།
ཀྱང་རུང༌འདི་,ཀྱང་རུང་འདི་
བཻ་དཱུརྱའམ།,བཻ་དཱུརྱའམ།
རྣམ་,རབ་
ཚིནྡྷ་,ཚིནྡྷ་
རབ་་འབྱོར་,རབ་འབྱོར་
པ་དང༌དགེ་,པ་དང་དགེ་
བིན་དྷུའི་,བིན་དྷུའི་
བདེ་མཇང་,བདེ་མཛད་
རཉྫ་ནཱ་་གང་,རཉྫ་ནཱ་གང་
འཇི,ནི
ཌཱི་སཱུ་,ཌཱི་སཱུ་
པེ་བྷུ་,པེ་བྷུ་
ག་,། །ཡེ་ཤེས་
ཞིག་དང༌འདིས་,ཞིག་དང་འདིས་
མིང་དང༌མིང་,མིང་དང་མིང་
ཚུར་སྦྱོན་,ཚུར་སྤྱོན་
བྲག་ཅེས་།,བྲག་ཅེས།
གྲིཧྣ་ཧཱུཾ།,གྲིཧྣ་ཧཱུཾ།
ཡི་གེ་དྷ་,ཡི་གེ་དྷ་
)་,་
་དག་,་དུ་
གཡོ་དང༌།,གཡོ་དང་།
ཨོྃ་བནྡྷ་,ཨོྃ་བནྡྷ་
སྤྱར་,སྦྱར་
མས་,ས་
མཉམ་སྦྱོར་པས།,མཉམ་སྦྱོར་བས།
།།སྐུ་,།སྐུ་
་ལྡན་,་ལམ་
རྟེན་ཐ་་མ་,རྟེན་ཐ་མ་
བི་ཙཀྵ་,བི་ཙཀྵ་
ཕབ་ཅིང༌།,ཕབ་ཅིང་།
བྱས་ཤིང༌དེ་,བྱས་ཤིང་དེ་
སུ་མཱ་དྷྱེ།,སུ་མཱ་དྷྱེ།
ཏཱིཀྵྞ་,ཏཱིཀྵྞ་
སྙད་དུ་བདགས་,སྙད་དུ་གདགས་
མ་ནཱ་ཀྵ།,མ་ནཱ་ཀྵ།
མཁན་པོ་དྷ་,མཁན་པོ་དྷ་
ཏོདྦྷ་བོདྦྷ་,ཏོདྦྷ་བོདྦྷ་
དག་སྤྱོདུ་,དག་སྤྱོད་
མཚུངས་པའི་,མཚུངས་པས་
པ་,ཏིལ་
ཛ་པཱུ་,ཛ་པཱུ་
གེ་ལ་ཀྵ།,གེ་ལ་ཀྵ།
དྷརྨེ་,དྷརྨེ་
དང་ཧཱུྃ།,དང་ཧཱུྃ།
དག་འཆེད་,དག་འཆོད་
ཨོཾ་ཤྭཾི,ཨོཾ་ཤྲི
སྨྱི་,སྨྲེ་
ྃ་ཤཱུ་,ྃ་ཤཱུ་
ི་ཥྛིཏེ་དྷརྨ་,ི་ཥྛིཏེ་དྷརྨ་
པར།,ཧཱ།
ཎེ་ཧཱུྃ།,ཎེ་ཧཱུྃ།
དང་གུན་དྷེ་,དང་གུན་དྷེ་
ཨུ་ཨཱུ་,ཨུ་ཨཱུ་
པས་ལུད་,པས་ལུང་
བའི་ཚན་དྷོ་,བའི་ཚན་དྷོ་
མིན་གཉིང་,མིན་གཉིད་
ཞེས་གསུགས་,ཞེས་གསུངས་
མཚམས་དང༌།,མཚམས་དང་།
རྟི་ཧཱུཾ་,རྟི་ཧཱུཾ་
ན་ཡ་ཀྵཱ་,ན་ཡ་ཀྵཱ་
ཆེ་བེེཌཱུ,ཆེ་བཻ་ཌཱུ
འབྱོར༌འདི་,འབྱོར་འདི་
མོ་འདི་(ཆེས་,མོ་འདི་ཆེས་
བཞིན་ཧཱུྃ་,བཞིན་ཧཱུྃ་
ནི་སྔོམ་,ནི་སྡོམ་
ནི་ཁོཪ་,ནི་ཁོར་
ཏེ་མུན་དྷ་,ཏེ་མུན་དྷ་
རུ་དཱུ་,རུ་དཱུ་
ཚིགས་དང༌།,ཚིགས་དང་།
པའི་ངཐོ་,པའི་ངོ་
བཛྲ་ཨ་དྷིཥྛཱ་,བཛྲ་ཨ་དྷིཥྛཱ་
པེ་ཧཱུྃ་,པེ་ཧཱུྃ་
མོ་ཀཱ་བྷ་,མོ་ཀཱ་བྷ་
ཨཱཿས་ཧཱུྃ་,ཨཱཿས་ཧཱུྃ་
མ་ཀཱརྱཾཱ,མ་ཀཱརྱཱ
སུ་པུཥྚིཾི་,སུ་པུཥྚིཾ་
ཏཱི་པ་་བི་,ཏཱི་པ་བི་
ཁྱེར་བཻ་བྷི་,ཁྱེར་བཻ་བྷི་
འདུག་གིས༑ དེའི་,འདུག་གིས། དེའི་
པར་,ཏ་
ནཱཾ་བུདྡྷ་,ནཱཾ་བུདྡྷ་
ྱ་ཤུད་དྷྱ།,ྱ་ཤུད་དྷྱ།
ཏ་ཁ་གྷ།,ཏ་ཁ་གྷ།
པ་དང༌ཁ་,པ་དང་ཁ་
སིལ་མའམ)།,སིལ་མའམ།
ན་བཻ་བྷི་,ན་བཻ་བྷི་
འབྱོར་དོརེ་,འབྱོར་དོར་
གིས་བྱུང༌།,གིས་བྱུང་།
འི་,ས་
ཛ་ལནྡྷ་,ཛ་ལནྡྷ་
ཚེ་བདག་མ,མ
བི་བྱུད་,བི་དྱུད་
ག་ནཱ་ཀྵ།,ག་ནཱ་ཀྵ།
ར་ན་ཪ་,ར་ན་ར་
གཡས་བརྐྱག་,གཡས་བརྐྱང་
ནུ་ཤེ་ས,ནུ་ཤཾས
ང་ཨཱུ་,ང་ཨཱུ་
དུ་ནྡུ)བྷི་,བྷི་
སོགས་པའི་,སོགས་པས་
འོད་སྲུང་་དང་,འོད་སྲུང་དང་
ཨོཾ་ནྙཱཾ,ཨོཾ་ནྠཱཾ
རྒྱན་ཕྲེག་,རྒྱན་ཕྲེང་
ཕྱིར་བརྟེན་྄ནས་,ཕྱིར་བརྟེན་ནས་
བ་དེ་་,བ་དེ་
ུ་རུ་དྷུ་,ུ་རུ་དྷུ་
ན་བར་དྷོ།,ན་བར་དྷོ།
ྉྤལའ།,།
མནྟ་གནྡྷཱ་,མནྟ་གནྡྷཱ་
སྤྲང་,སྦྲང་
ཧཱ་རཀྵ་,ཧཱ་རཀྵ་
མ་ཡིིན་,མ་ཡིན་
མ་ག་དྷཱའི།,མ་ག་དྷཱའི།
བེེཥྞ་,བཻཥྞ་
པ་ལ་མ,ནི། །བསམ
བཞི་པིའི་,བཞི་པའི་
དང་སིདྷ་,དང་སིདྷ་
ཨུཏ་སཱ་དྷ་,ཨུཏ་སཱ་དྷ་
གུ་ཧྱ་དྷཱ་,གུ་ཧྱ་དྷཱ་
ཾཱ,ཱ
ཤི་དང༌།,ཤི་དང་།
རི་དང༌།,རི་དང་།
བིགྷ་,བིགྷ་
ཧཱ་པྲ་བྷ་,ཧཱ་པྲ་བྷ་
དཱ་ལམ་བྷེ།,དཱ་ལམ་བྷེ།
མུཉྩ་བཛྲཱི་བྷ་,མུཉྩ་བཛྲཱི་བྷ་
ལས་གྱུར་བའི་,ལས་གྱུར་པའི་
ཉམས་པར་།,ཉམས་པར།
ཨ་ནོ་གྷ་,ཨ་ནོ་གྷ་
ཏ་ཏིཪྱ་,ཏ་ཏིརྱ་
མ་ཧཱ་དྷུ་,མ་ཧཱ་དྷུ་
གནདོ,གནོ
་ཨཱཿཧཱུཾ།,་ཨཱཿཧཱུཾ།
འཁོད་པའི་,འཁོད་པས་
དྷྱན་(ཏུ,དྷྱན་ཏུ
།མ,།
གཱ་བ་དྷ་,གཱ་བ་དྷ་
ལུས།་ལ་,ལུས། ལ་
གྱིས་ཀྱང༌།,གྱིས་ཀྱང་།
ུ་ག་སེར་ཀའི,ྱི
མཽ་ལི་དྷ་,མཽ་ལི་དྷ་
ཅན,ན
བདུད་སྔིག་,བདུད་སྡིག་
རྒྱས་,པོ་
བཞིན་དང༌།,བཞིན་དང་།
ཡ་བན་དྷ་,ཡ་བན་དྷ་
ནས་བུམ་བཞབས་,ནས་བུམ་པ་ཞབས་
ཁྲོ་དང༌།,ཁྲོ་དང་།
སྣ་ལྔཪ་,སྣ་ལྔར་
བྱིན་(ཀྱི)་,བྱིན་(ཀྱི་
བསྟན་པའམ༌གཅིག་,བསྟན་པའམ་གཅིག་
ཁ་ཀྵ་,ཁ་ཀྵ་
ག་ནཱ་ཀྵ་,ག་ནཱ་ཀྵ་
ཛེས་,ས་
སྟོབས་པའི་,སྟོབས་པས་
དེ་ཐོས་པ་དེ་,ཡན་
ཧཱ་ཊ་ༀ་,ཧཱ་ཊ་ཨོཾ་
བྱེད་ཅིང་(སྟོད་,བྱེད་ཅིང་སྟོད་
་རང་,རང་
ཧོ་ཧཱུྃ་,ཧོ་ཧཱུྃ་
པ་སྲུ་,པ་སྐུ་
དཔེར་ན༌ནམ་,དཔེར་ན་ནམ་
ཏུ་གསུངས།་།,ཏུ་གསུངས།།
རིའི་བུ༌མིག་,རིའི་བུ་མིག་
དང་མཉོམ་,དང་མཉམ་
ཀྱིས་ཀྱང༌།,ཀྱིས་ཀྱང་།
ཀར་ཧཱུྃ།,ཀར་ཧཱུྃ།
སཏྭ་ཧཱུྃ༑ རྟག་,སཏྭ་ཧཱུྃ། རྟག་
ཤཱ་ཡེཻ།,ཤཱ་ཡཻ།
༌།,་།
ོ་,་
ཌ་རཱུ་,ཌ་རཱུ་
སྔགས་ཨོཽ་,སྔགས་ཨོྃ་
ལི་ཀྵི་,ལི་ཀྵི་
རུ་དྷྱ།,རུ་དྷྱ།
གོ་གྱུར་བས།,གོ་གྱུར་པས།
ལི་ཧེེ་,ལི་ཧཻ་
རིགས་བཞི་•སངས་,རིགས་བཞི་སངས་
ཧོོརྒ,ཧཽརྒ
དང་སྤྱར།,དང་སྦྱར།
ཛ་ཡ་བྷྱོ་,ཛ་ཡ་བྷྱོ་
མྱོང་,ཡང་
།་ཁྱིམ་,།ཁྱིམ་
དྷརྨ་,དྷརྨ་
།་ཡང་,།ཡང་
ནས་ཁྱེད་རྐྱག,ནས་ཁྱེདརྐྱག
པོ,དོ
ུ་ར་དྷུ་,ུ་ར་དྷུ་
་ཚིནྡྷ།,་ཚིནྡྷ།
འབྱོར༌སྦྱིན་,འབྱོར་སྦྱིན་
བུད་མེདི་,བུད་མེད་
ལྡན་ཞིང༌།,ལྡན་ཞིང་།
འབྱོར༌ཁྱོད་,འབྱོར་ཁྱོད་
ལྷ་དང༌།,ལྷ་དང་།
བསྟན་པས་ཀྵ་,བསྟན་པས་ཀྵ་
ྭ་ཛེ་དྷྭ་,ྭ་ཛེ་དྷྭ་
ཐལ་བའིི་,ཐལ་བའི་
ཛཱ་ཛམ་བྷེ།,ཛཱ་ཛམ་བྷེ།
ལོ་ག་ཡ,ལོ་གཡ
མགུལ་དུ་་མཆི།,མགུལ་དུ་མཆི།
མ་ཀྵི་,མ་ཀྵི་
་བཅོམ་,་བྱས་
གཅོ་,ཙོ་
ཕྱིར༌འདི་,ཕྱིར་འདི་
ཥྚེེ་,ཥྚཻ་
སྤྱད་ཅིང༌།,སྤྱད་ཅིང་།
མཆོག་གི་བྷ་,མཆོག་གི་བྷ་
ཀྃ་ཨཱཿ་ཧུྃ་,ཀྃ་ཨཱཿཧུྃ་
པའི་ཧཱུྃ་,པའི་ཧཱུྃ་
ཎེ་བནྡྷ་,ཎེ་བནྡྷ་
ཥིཀྟཱ་ཡེེ་,ཥིཀྟཱ་ཡཻ་
ནི་གན་དྷ་,ནི་གན་དྷ་
མགོ་ལ་མགོལ་འཇུ།,མགོ་ལ་འཇུ།
་དཱུཪྱ་,་དཱུརྱ་
སརྦྦ་ཙཀྵུ་,སརྦྦ་ཙཀྵུ་
དུ་ལྺརྻ,དུ་ལྺྼྻ
བེེ་,བཻ་
མཎྜེ་ཧཱུྃ།,ཧཱུྃ།
འགྲུས་བརྩམ་་བྱ།,འགྲུས་བརྩམ་བྱ།
བ་ལཱི་ཌྷ་,བ་ལཱི་ཌྷ་
ྙི,་ཉི
བཾ་ཧོཿཨ་དྷི་,བཾ་ཧོཿཨ་དྷི་
་ཡིན་,ོན་
རྣམས་ཀྱིང་,རྣམས་ཀྱང་
འབྱིན་པ་་ཡིན་,འབྱིན་པ་ཡིན་
རཱི་ཥི་བྷ།,རཱི་ཥི་བྷ།
ད་རཀྵ་,ད་རཀྵ་
ཧྭ་ཤུད་དྷེ།,ཧྭ་ཤུད་དྷེ།
ཨངྒ་།,ཨངྒ།
ནི་བེེཌཱུ,ནི་བཻཌཱུ
དྷྱ་,དྷྱ་
སྐུར་ཅིང༌མཛའ་,སྐུར་ཅིང་མཛའ་
ཉིད་དང༌རྟག་,ཉིད་དང་རྟག་
ཉིད་ཀྱིས་(ཐ་,ཉིད་ཀྱིས་ཐ་
བཞི,ཉི
རོ་ལི་ཀ་,རོ་ལིཀ་
སནྡྷི།,སནྡྷི།
ཐི་ཪི་,ཐི་རི་
གིས་སྲིིད་,གིས་སྲིད་
རོས་བོས་བ་,རོས་བོས་པ་
ཀྲོ་དྷ།,ཀྲོ་དྷ།
རལ་གྲིའི་(དངོ་,རལ་གྲིའི་དངོ་
ན་ཧཱུྃ་,ན་ཧཱུྃ་
འདས་ཤིང༌སྲེད,འདས་ཤིང་སྲེད
་གནས,་གྱིས
གི་ཀོོ་,གི་ཀཽ་
གཅི་དང༌།,གཅི་དང་།
དྷརྨི་,དྷརྨི་
བིཾ་,བིྃ་
རི་ཤུདྡྷཱཿ།,རི་ཤུདྡྷཱཿ།
སརྦ་ཏྲཻ་དྷཱ་,སརྦ་ཏྲཻ་དྷཱ་
སྲིན་ཀཱུརྨ་,སྲིན་ཀཱུརྨ་
ག་ཤུད་དྷོ྅ཧཾ།,ག་ཤུད་དྷོ྅ཧཾ།
ཡི་སྔོམ་,ཡི་སྡོམ་
ད་ར་།,ད་ར།
དང༌ཡིད་,དང་ཡིད་
འདི་སྐདུ་,འདི་སྐད་
སོང་དང༌།,སོང་དང་།
ཉུངས་པསབས་,ཉུངས་པས་
རབ་དང༌།,རབ་དང་།
ཛྷཱ་དྷྲྀ་ཀ།,ཛྷཱ་དྷྲྀཀ།
ཀྱི,ཞི
དག་པར་ཡང་དག་པར་རྗེས་,དག་པར་རྗེས་
ཥྚེ་པྲ་དྷཥྚེ།,ཥྚེ་པྲ་དྷཥྚེ།
ཏྲ་མ་བྷ་,ཏྲ་མ་བྷ་
བི་དྱཱ་དྷ་,བི་དྱཱ་དྷ་
ུ་རྡྷཱ་,ུ་རྡྷཱ་
ེ་,ིས་
བི(སྷྭཱ་,བིསྷྭཱ་
ནེ་བཱ་དྷོ་,ནེ་བཱ་དྷོ་
གྲོང་ཁྱེར་བྷཎྜ་,གྲོང་ཁྱེར་བྷཎྜ་
བརྞེ་པྲཧྨ་གྷོ་,བརྞེ་པྲཧྨ་གྷོ་
མྱེད་པརའི་,མྱེད་པའི་
མྱཀྶཾ་བུདྡྷཱ་,མྱཀྶཾ་བུདྡྷཱ་
ཨོྃ་སརྦྦ་དྷརྨྨཱ་,ཨོྃ་སརྦྦ་དྷརྨྨཱ་
སརྦ་སིདྡྷིམྨེ་,སརྦ་སིདྡྷིམྨེ་
ལ་,འོ་
བར་སྟོན་།,བར་སྟོན།
རཏྣ་ཨ་བྷི་,རཏྣ་ཨ་བྷི་
མ་བད་དྷེ་,མ་བད་དྷེ་
རོ་གན་དྷས་,རོ་གན་དྷས་
ཀྱེ་ཧཱུཾ།,ཀྱེ་ཧཱུཾ།
་ཁྱོད་,ཁྱོད་
སྐད་བྱུང༌།,སྐད་བྱུང་།
མོ་སྤྱར་,མོ་སྦྱར་
ནཱ་ཀྵ།,ནཱ་ཀྵ།
ཨན་བྷ་,ཨན་བྷ་
ཨཱ༔ནི་,ཨཱཿནི་
ཝང་ངོ་)།,ཝང་ངོ་།
)པའི་,པའི་
སྔོམ་,སྡོམ་
པར་སྤྲོང་,པར་སྤོང་
ལས་བྱུུང་,ལས་བྱུང་
དེའི་བྷ་,དེའི་བྷ་
ཀ །དྷུ་,ཀ །དྷུ་
གེ་དང༌།,གེ་དང་།
ཧྲཱིཾ༔ལས་,ཧྲཱིཾཿལས་
ཟུང་དང༌།,ཟུང་དང་།
རྗོགས་,རྫོགས་
ནྃ་དྷྲྀ་ཀ་,ནྃ་དྷྲྀཀ་
འབྱོར༌སྟོང་,འབྱོར་སྟོང་
ལ་དག་།,ལ་དག།
ལྡན་འདས༌གཟུགས་,ལྡན་འདས་གཟུགས་
ཡཻ་ཧཱུྃ་,ཡཻ་ཧཱུྃ་
མངར་སེན་དྷ་,མངར་སེན་དྷ་
ཡོ,མཆོ
ཧཱ་ཧཱུཾྃ་,ཧཱ་ཧཱུཾྃ་
དམ་ཙིག་,དམ་ཚིག་
བྷྱ་,བྷྱ་
བཱ་ཤིམ་བྷཱ་,བཱ་ཤིམ་བྷཱ་
དེའི་ཕྱིར་ཌྷ་,དེའི་ཕྱིར་ཌྷ་
ཨོཾ་རྨྃ་,ཨོཾ་མྃ་
ན་མ༔ གསང་,ན་མཿ གསང་
ཏིཥིྛ་,ཏིཥྛ་
རི་པྲཱྀཙྪ་,རི་པྲྀཙྪ་
ཀ་ཨན་དྷ་,ཀ་ཨན་དྷ་
ཏྲ་སོོ་,ཏྲ་སཽ་
ཨད་དྷ་,ཨད་དྷ་
བུད་དྷྱ་,བུད་དྷྱ་
ན་མི་བྷཱ་,ན་མི་བྷཱ་
པ་དེ་།,པ་དེ།
པོ་ཆེའི་(ཏེ་,པོ་ཆེའི་ཏེ་
བཞིན་དུ་ཏེག་,བཞིན་དུ་ཐེག་
་རཀྵ་,་རཀྵ་
པ་སྤྱིན།,པ་སྦྱིན།
སཽ་སྨྱ,སཽ་མྱ
སརྦ་སིདྡྷི།,སརྦ་སིདྡྷི།
ཡོད་པའ་,ཡོད་པ་
དུ་འཔེལ་,དུ་འཕེལ་
བསྔགས་ཤིང༌།,བསྔགས་ཤིང་།
ལ་མྦྷ་,ལ་མྦྷ་
(ཤྵེ་,ཤྵེ་
ར་བནྡྷ་,ར་བནྡྷ་
བ་ན་དྷ་,བ་ན་དྷ་
ཁམས་གྱི་,ཁམས་ཀྱི་
ཏུ་འཕྱང༌།,ཏུ་འཕྱང་།
གིས་བདག་བྷ་,གིས་བདག་བྷ་
སྦྲོ་,སྤྲོ་
བྃ་ཧོ༔ཞེས་,བྃ་ཧོཿཞེས་
ལྡན་འདས༌ཉན་,ལྡན་འདས་ཉན་
བཛྲེ་བཛྲེ་དྷ་,བཛྲེ་བཛྲེ་དྷ་
ཨོྃ་བཛྲ་བྷཻ་,ཨོྃ་བཛྲ་བྷཻ་
སམྦྷ་,སམྦྷ་
ལྡན་འདས༌ཐེག་,ལྡན་འདས་ཐེག་
་ཡཀྵ་,་ཡཀྵ་
བ་ཀརྨཀྵ་,བ་ཀརྨཀྵ་
བཛྲ་གརྦྷ་,བཛྲ་གརྦྷ་
རིའི་བུ༌གཟུགས་,རིའི་བུ་གཟུགས་
བི་ཤུད་དྷ།,བི་ཤུད་དྷ།
ལ་དཔེན་,ལ་དབེན་
ཤ་ཏྲིུ་,ཤ་ཏྲུྃ་
མིྱ,མྱ
ལྡི་དང༌།,ལྡི་དང་།
མོད་དང༌འཐབས་,མོད་དང་འཐབས་
དབྱིངས་ཀྱི་ཪང་,དབྱིངས་ཀྱི་རང་
ཕྲོགས་ཏེ་ནད་ཀྱི་,པའི་
པ་བཤད་,པ་བཤང་
བཟང་ངོ༌།,བཟང་ངོ་།
བ་དུ༔ སརྦ་,བ་དུཿ སརྦ་
རིའི་བུས་།,རིའི་བུས།
ཅི་རིགས་གྱི་,ཅི་རིགས་ཀྱི་
ཀཱ་ན་,ཀཱན་
ཌ་སུ་དྷཱ་,ཌ་སུ་དྷཱ་
མི་མྱོང༌།,མི་མྱོང་།
མཆིས་ཤིང༌མཐའ་,མཆིས་ཤིང་མཐའ་
བཞུ,ལེའུ
བི་དྷེ་,བི་དྷེ་
ཡུལ་བྷ་,ཡུལ་བྷ་
ཎི་མ་ཾམ་ཎི།,ཎི་མ་ཎི།
ན་རིཀྵ་,ན་རིཀྵ་
ཆང་གི་ཏོད་,ཆང་གི་ཐོད་
ལྡང་ཡང༌།,ལྡང་ཡང་།
པ་དང༌རྒ་,པ་དང་རྒ་
འཛིན་ལག་,འཛིན་ལ་
སྨྲ་ཞིང༌དོན་,སྨྲ་ཞིང་དོན་
རྗེ་འདིན་,རྗེ་འཛིན་
སྨན་དང༌།,སྨན་དང་།
་སེ་བྷུ་,་སེ་བྷུ་
སྡེག་,སྡིག་
འབྱོར༌དེ་,འབྱོར་དེ་
ལ་,་
མ་ན་ཛྷ་,མ་ན་ཛྷ་
གྱིས་བྷྲིང་,གྱིས་བྷྲིང་
ཙ་ཀྵུ་,ཙ་ཀྵུ་
ལྷོ་དང༌ལྷོ་,ལྷོ་དང་ལྷོ་
བ་སྭ་བྷཱུ་,བ་སྭ་བྷཱུ་
རྟོག་ཅིང༌ཤེས་,རྟོག་ཅིང་ཤེས་
འཛིན་ཅིང༌འཁོར་,འཛིན་ཅིང་འཁོར་
ཏིཀྵ་,ཏིཀྵ་
བརྟུལ་ཞུགས་གྱི་,བརྟུལ་ཞུགས་ཀྱི་
ས་མནྟ་བྷ་,ས་མནྟ་བྷ་
ཞུས་ཤིག་ །,ཞུས་ཤིག །
མ་ཧཱུ་,མ་ཧཱུ་
ཨིན་དྲ་ཱ,ཨིན་དྲཱ
ཏ་དྷ་,ཏ་དྷ་
དཱུརྱའམ།,དཱུརྱའམ།
ལནྡྷ་,ལནྡྷ་
ཕ་རོལ་ཏུ་ད་,ཕ་རོལད་
སང་གྷཱ་,སང་གྷཱ་
ཨོྃ་ཀཱྃ,ཨོྃ་ཀཱ
་ཧཱི,་ཧཱ
འཕྲུལ་དང༌།,འཕྲུལ་དང་།
པ་ཕྱུང༌།,པ་ཕྱུང་།
ཁྲོ་(བ་,ཁྲོ་བ་
མེད་དམ་།,མེད་དམ།
ན་སཱུཏྲ།,ན་སཱུཏྲ།
རྱ་དང༌།,རྱ་དང་།
རཀྟོ་མེ་བྷ་,རཀྟོ་མེ་བྷ་
་མེད་པ།,་མེད་ལ།
འགྱུར་བརའི་,འགྱུར་བའི་
ར་བོ་དྷི་,ར་བོ་དྷི་
ཤ་ཧཱུྃ།,ཤ་ཧཱུྃ།
པ་དག་་འཕགས་,པ་དག་འཕགས་
པས་ཧཱུྃ་,པས་ཧཱུྃ་
ལ་,སྭཱ་
ུ་རི་བྷུ་,ུ་རི་བྷུ་
ཀུ་རུ་།,ཀུ་རུ།
ཤལ་དང༌།,ཤལ་དང་།
)བཞིན་,བཞིན་
ཀྱང་ལྡང༌།,ཀྱང་ལྡང་།
གོང་ཕང་་དེ་,གོང་ཕང་དེ་
་ཀ་དྷ།,་ཀ་དྷ།
